precinct,lat,lng,station,marz,community,source,saved_at
23/58,40.84432523626535,44.434223489142326,"Վանաձորի Պ. Սևակի անվան N30 հիմնական դպրոց (ք․ Վանաձոր, Տարոն 2, Ուկրաինական փ․, ՔՇՀ  4 շենք)",Լոռի,Վանաձոր,cec-register,2026-06-02T17:52:50.151Z
23/59,40.84387884101242,44.42953137266281,"Վանաձորի թիվ 33 մանկապարտեզ (ք. Վանաձոր, Տարոն – 3, Տաշիրի խճ․ 3 շենք)",Լոռի,Վանաձոր,cec-register,2026-06-02T17:52:50.151Z
24/10,41.054485,44.61535,"Oձունի թիվ 1 միջնակարգ դպրոց, փողոց 5, փակուղի 4, շենք 10",Լոռի,Ալավերդի,cec-register,2026-06-01T16:45:37.186Z
24/11,41.09937249987312,44.675264217010906,"Ալավերդի թիվ 9 միջնակարգ դպրոցի շենք, Դեբեդ թաղամաս 2/1",Լոռի,Ալավերդի,cec-register,2026-06-02T18:09:24.207Z
24/14,41.09889952945288,44.650560848523455,"«Ալավերդու արհեստագործական պետական ուսումնարան» ՊՈԱԿ-ի շենքը, Զորավար Անդրանիկի փողոց, շենք 197",Լոռի,Ալավերդի,cec-register,2026-06-02T18:23:54.667Z
24/16,41.09659526587105,44.643979098313686,"«Ալավերդի համայնքի թիվ 2 մանկապարտեզ» ՀՈԱԿ-ի շենք, Ջրավազան փող., շենք 7/2",Լոռի,Ալավերդի,cec-register,2026-06-02T17:52:50.151Z
24/20,41.091909680636746,44.65295445513853,"«Ալավերդի համայնքի թիվ 4 մանկապարտեզ» ՀՈԱԿ-ի շենք, Սանահին Սարահարթ թաղամաս, Գայի փողոց, շենք 1-/11/1",Լոռի,Ալավերդի,cec-register,2026-06-02T16:55:50.558Z
24/22,41.091586245684596,44.65841339276082,"Սարահարթի մշակույթի տան շենք, Սանահին Սարահարթ թաղամաս, շենք 2/32ա",Լոռի,Ալավերդի,cec-register,2026-06-02T18:23:54.673Z
24/23,41.09065636132769,44.65812426803974,"Ալավերդու թիվ 8 ավագ դպրոցի շենք, Սանահին-Սարահարթ թաղամաս,շենք 3/10 /1",Լոռի,Ալավերդի,cec-register,2026-06-02T17:17:00.095Z
24/37,41.16586165645667,44.820007430967905,"«Ալավերդի համայնքի Մեծ Այրումի մանկապարտեզ» ՀՈԱԿ-ի շենք Մեծ Այրում, փ․3, շենք 2",Լոռի,Ալավերդի,cec-register,2026-06-02T17:52:50.151Z
24/40,41.14498802271042,44.83922751974092,"Շնողի մշակույթի տուն, փողոց 3, շենք 1",Լոռի,Ալավերդի,cec-register,2026-06-02T18:23:54.673Z
24/43,41.002273535019654,44.648963599566954,"Թումանյանի մշակույթի պալատի շենք , 3-րդ փողոց, շ․2",Լոռի,Թումանյան,cec-register,2026-06-02T17:05:56.429Z
24/44,40.962108896309935,44.65029346525533,"Դսեղի ակումբի շենք, Հրապարակ, շ․5",Լոռի,Թումանյան,cec-register,2026-06-02T18:09:24.207Z
24/48,40.93573629382944,44.77371828180735,"Լորուտի հանդիսությունների սրահի շենք, 1-ին փողոց, շ․14",Լոռի,Թումանյան,cec-register,2026-06-02T18:52:36.840Z
24/55,40.905388,44.610586,"Վահագնի միջնակարգ դպրոցի շենք. 2-րդ փող., շենք 2",Լոռի,Փամբակ,cec-register,2026-06-02T18:09:24.206Z
24/57,40.90120383409161,44.631305051343446,"Եղեգնուտի ժամանցի սրահի շենք, 1-ին փող., շենք 1",Լոռի,Փամբակ,cec-register,2026-06-02T18:09:24.207Z
24/58,40.917752804402596,44.64772827540583,"Դեբեդի հանդիսությունների սրահ 2-րդ փող., շենք 8",Լոռի,Փամբակ,cec-register,2026-06-02T17:14:03.583Z
24/59,40.94567638358319,44.628997131469994,"Ձորագետի մանկապարտեզի շենք, 1-ին փող., շենք 121/1",Լոռի,Փամբակ,cec-register,2026-06-02T17:14:03.583Z
25/10,41.008771,44.392067,փ. Մ. Մաշտոցի շենք 17 թիվ 4 մանկապարտեզ,Լոռի,Ստեփանավան,cec-register,2026-06-02T18:58:59.396Z
25/13,41.034321,44.216151,"8 փող. 1 նրբ., շենք 1, միջնակարգ դպրոց",Լոռի,Ստեփանավան,cec-register,2026-06-02T18:09:24.206Z
25/15,41.025301,44.445544,"1 փող., շենք 1, միջնակարգ դպրոց",Լոռի,Լոռի Բերդ,cec-register,2026-06-02T17:52:50.151Z
25/22,41.098062,44.400558,"1 փող. 7 փկղ., շենք 1, միջնակարգ դպրոց",Լոռի,Լոռի Բերդ,cec-register,2026-06-02T17:52:50.151Z
25/24,41.118346,44.292956,"փ. Երևանյան 98, ուսումնարան",Լոռի,Տաշիր,cec-register,2026-06-02T17:52:50.151Z
25/26,41.118346,44.292956,"փ. Կ. Դեմիրճյան 68, մշակույթի կենտրոն",Լոռի,Տաշիր,cec-register,2026-06-02T17:08:34.174Z
25/32,41.119994,44.348803,"3 փող., շենք 3/1, միջնակարգ դպրոց",Լոռի,Տաշիր,cec-register,2026-06-02T18:52:36.841Z
25/40,41.201759,44.238017,"փ. Չարենցի 4, մարզադահլիճ",Լոռի,Տաշիր,cec-register,2026-06-02T18:09:24.207Z
25/43,41.166329,44.276147,"5 փող., շենք 19/1, միջնակարգ դպրոց",Լոռի,Տաշիր,cec-register,2026-06-02T18:09:24.207Z
25/45,41.190877,44.334667,"փ. Կ. Դեմիրճյան 99/1, մշակույթի տուն",Լոռի,Տաշիր,cec-register,2026-06-02T18:23:54.668Z
25/46,41.194689,44.385281,"2 փող., շենք 7, միջնակարգ դպրոց",Լոռի,Տաշիր,cec-register,2026-06-02T17:35:49.516Z
26/7,40.607414,44.648811,"հասցե՝ գ.Մեղրաձոր, 7-րդ փողոց, 4 շենք, Մեղրաձոր գյուղի հանդիսությունների սրահ",Կոտայք,Ծաղկաձոր,cec-register,2026-06-02T18:52:36.841Z
26/11,40.495093479908896,44.75729151332477,"հասցե՝ ք.Հրազդան, Հարավային թաղամաս, Երևանյան 1/3, N1 ավագ  դպրոցի  շենքը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:58:59.395Z
26/12,40.50149788529126,44.75006095066648,"հասցե՝ ք.Հրազդան, Հարավային թաղամաս, Սպանդարյան փողոց 72, Թիվ 2 հիմնական դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:09:24.207Z
26/13,40.50340277197443,44.757211679959575,"հասցե՝ ք.Հրազդան, Արամ Խաչատրյան 9, Արամ Խաչատրյանի անվան երաժշտական դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T17:08:34.174Z
26/14,40.515528330372305,44.75108058181747,"հասցե՝ ք.Հրազդան, Կենտրոն թաղամաս 54, Թիվ 8 հիմնական դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:09:24.207Z
26/15,40.51678440146863,44.750141733389555,"հասցե՝ ք.Հրազդան, Կենտրոն թաղամաս  52, Թիվ 15 նախադպրոցական ուսումնական հաստատությունը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:52:36.841Z
26/18,40.51972465769838,44.754508079328204,"հասցե՝ ք.Հրազդան, Կենտրոն թաղամաս 53, Թիվ 13  ավագ  դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T17:35:49.516Z
26/20,40.52113153080663,44.75768937585062,"հասցե՝ ք.Հրազդան, Կենտրոն թաղամաս 57, Կոստան Զարյանի անվան մանկական արվեստի դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:23:54.673Z
26/23,40.54527621014555,44.767107728545795," հասցե՝ ք.Հրազդան, Միկրոշրջան  թաղամաս 80, Թիվ 8 նախադպրոցական ուսումնական հաստատությունը",Կոտայք,Հրազդան,cec-register,2026-06-01T16:45:37.186Z
26/25,40.551830710277684,44.76130397665301,"հասցե՝ ք.Հրազդան, Միկրոշրջան թաղամաս, Թիվ 9 հիմնական դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T16:49:13.285Z
26/26,40.549719318211956,44.76514544069691,"հասցե՝ ք.Հրազդան, Միկրոշրջան  թաղամաս 22/1, Թիվ 4 նախադպրոցական ուսումնական հաստատությունը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:52:36.841Z
26/28,40.548414950079476,44.76779506533357,"հասցե՝ ք.Հրազդան, Միկրոշրջան  թաղամաս 6-րդ փողոցի  նրբանցք 1, Թիվ 12 հիմնական դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:09:24.207Z
26/29,40.54565938887719,44.77352346497696,"հասցե՝ ք.Հրազդան, Միկրոշրջան  թաղամաս 5-րդ փողոց 9, Թիվ 10 ավագ դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:09:24.207Z
26/30,40.54443647036532,44.77686949923791,"հասցե՝ ք.Հրազդան, Միկրոշրջան  թաղամաս 14-րդ փողոց 14, Թիվ 11 հիմնական դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T18:52:36.841Z
26/32,40.54186011563344,44.77440970460841,"հասցե՝ ք.Հրազդան, Միկրոշրջան  թաղամաս  13-րդ փողոց  16/1, ԵՄՄՈՒԿ-ի շենքի ճակատային  մասը,",Կոտայք,Հրազդան,cec-register,2026-06-02T16:49:13.286Z
26/33,40.54176227742479,44.77404996753923,"հասցե՝ ք.Հրազդան, Միկրոշրջան  թաղամաս   13-րդ փողոց  16/1,ԵՄՄՈՒԿ-ի շենքը",Կոտայք,Հրազդան,cec-register,2026-06-02T16:46:53.483Z
26/35,40.58166025257802,44.75438380673043,"հասցե՝ ք.Հրազդան, Կաքավաձոր թաղամաս, 1-ին  փողոց 4, Թիվ 7 միջնակարգ դպրոցը",Կոտայք,Հրազդան,cec-register,2026-06-02T17:03:11.145Z
26/36,40.46808219357586,44.792524143003966,"հասցե՝ ք.Հրազդան, բնակավայր Լեռնանիստ, 1-ին փողոց,  շենք 33, Լեռնանիստի միջնակարգ  դպրոցի  շենքը",Կոտայք,Հրազդան,cec-register,2026-06-02T17:52:50.151Z
26/37,40.46618038540892,44.793222365317966,"հասցե՝ ք.Հրազդան, բնակավայր Լեռնանիստ, 4-րդ թաղամաս,  շենք 6, Լեռնանիստի մանկապարտեզի շենքը",Կոտայք,Հրազդան,cec-register,2026-06-02T17:52:50.151Z
26/39,40.466535448103656,44.7143603592572,"հասցե՝ ք.Հրազդան, բնակավայր Սոլակ, 2-րդ թաղամաս, շենք 41, Սոլակի միջնակարգ  դպրոցի  շենքը",Կոտայք,Հրազդան,cec-register,2026-06-02T17:10:17.344Z
27/1,40.30853943827014,44.47681327092202,"Թիվ 3 հիմնական դպրոց (սպորտյին դահլիճ), Երևանյան փող․, 7/2 շ․",Կոտայք,Նաիրի,cec-register,2026-06-02T17:10:17.344Z
27/2,40.27598964655471,44.477107381686636,"Թիվ 3 հիմնական դպրոց (1-ին մասնաշենք), Երևանյան փող․, 7/2 շ․",Կոտայք,Նաիրի,cec-register,2026-06-02T18:23:54.673Z
27/3,40.31448713351082,44.47744700295098,"Թիվ 1 ավագ դպրոց (1-ին մասնաշենք), Չարենցի փող․ 56",Կոտայք,Նաիրի,cec-register,2026-06-02T18:23:54.667Z
27/5,40.321559054918225,44.48415700017781,"Թիվ 2 հիմնական դպրոց, Սաֆարյան փող․ 88",Կոտայք,Նաիրի,cec-register,2026-06-02T18:09:24.207Z
27/6,40.32252427997053,44.48452647052824,"Մշակույթի տուն, Սաֆարյան փող․ 90",Կոտայք,Նաիրի,cec-register,2026-06-02T17:52:50.151Z
27/9,40.238711019700794,44.503781458864204,"Մշակույթի կենտրոն, 39-րդ փող․, 131 շ․",Կոտայք,Նաիրի,cec-register,2026-06-02T17:35:49.516Z
27/12,40.35352683541226,44.522672603113875,"Հանդիսությունների սրահ, 1-ին փող․, 22 շ․",Կոտայք,Նաիրի,cec-register,2026-06-02T17:10:17.344Z
27/17,40.234114,44.447213,"Մշակույթի տուն, Ս․Ջալալյան փող․, 2 շ․",Կոտայք,Նաիրի,cec-register,2026-06-02T17:25:32.312Z
27/19,40.234091723725,44.45113271055946,"Թիվ 1 միջնակարգ դպրոց, Ս․Ջալալյան փող․, 1 շ․",Կոտայք,Նաիրի,cec-register,2026-06-02T16:39:55.605Z
27/24,40.45751137595289,44.64831950747993,ՄԻՋՆԱԿԱՐԳ ԴՊՐՈՑ 12 ՓՈՂՈՑ 5,Կոտայք,Չարենցավան,cec-register,2026-06-02T18:52:36.841Z
27/26,40.40474671597619,44.64458432064745,Մ.ՄԱՇՏՈՑԻ ԱՆՎԱՆ ԱՎԱԳ ԴՊՐՈՑ ՔՈՉԱՐԻ ՓՈՂՈՑ 50,Կոտայք,Չարենցավան,cec-register,2026-06-02T18:52:36.841Z
27/27,40.39913379945345,44.64019694232037,ԹԻՎ 2 ՀԻՄՆԱԿԱՆ ԴՊՐՈՑ ՕՂԱԿԱՅԻՆ  ՓՈՂՈՑ 36,Կոտայք,Չարենցավան,cec-register,2026-06-02T16:46:53.482Z
27/28,40.40114371854554,44.63559637738713,ՎԱԶԳԵՆ Ա-Ի ԱՆՎԱՆ ԹԻՎ3 ՀԻՄՆ ԴՊՐՈՑ  ԵՐԻՏԱՍԱՐԴՈՒԹՅԱՆ  ՓՈՂՈՑ  17,Կոտայք,Չարենցավան,cec-register,2026-06-02T18:52:36.840Z
27/29,40.40693619843728,44.64860766981378,Ս.ԱՎԱՆՅԱՆԻ ԱՆՎԱՆ ԹԻՎ 4 ԴՊՐՈՑ ՇԻՆԱՐԱՐՆԵՐԻ ՓՈՂՈՑ 3,Կոտայք,Չարենցավան,cec-register,2026-06-02T18:52:36.840Z
27/30,40.40059630750309,44.64290123140604,Ե.ՉԱՐԵՆՑԻ ԱՆՎԱՆ ԹԻՎ 5 ՀԻՄՆԱԿԱՆ ԴՊՐՈՑ ԱԲՈՎՅԱՆ ՓՈՂՈՑ 8,Կոտայք,Չարենցավան,cec-register,2026-06-02T17:35:49.516Z
27/32,40.39575928815424,44.63517738247724,ԹԻՎ 6 ՀԻՄՆԱԿԱՆ ԴՊՐՈՑ 2-ՐԴՆ ՄԱՍՆԱՇԵՆՔ  ՌՈՒՍՈՎԻ ՓՈՂՈՑ 7,Կոտայք,Չարենցավան,cec-register,2026-06-02T18:52:36.840Z
27/33,40.400445155908635,44.639237487434954,ԾԻԾԵՌՆԱԿ Մ/ՄԱՆԿԱՊԱՐՏԵԶ  3-ՐԴ ԹՂՄ. 4-ՐԴ ՓՈՂՈՑ 16,Կոտայք,Չարենցավան,cec-register,2026-06-02T17:00:40.276Z
27/34,40.40605387825188,44.649423867456434,ՀԵՔԻԱԹՄ/ՄԱՆԿԱՊԱՐՏԵԶ ՇԻՆԱՐԱՐՆԵՐԻ ՓՈՂՈՑ 4,Կոտայք,Չարենցավան,cec-register,2026-06-02T18:52:36.841Z
27/36,40.40261435303443,44.64813122504393,ԶԱՆԳԱԿ Մ/ՄԱՆԿԱՊԱՐՏԵԶ ՔՈՉԱՐԻ ՓՈՂՈՑ 15,Կոտայք,Չարենցավան,cec-register,2026-06-02T17:00:40.276Z
27/37,40.40225486757065,44.642868798131865,ՊԵՏԱԿԱՆ ՔՈԼԵՋ ԽՈՐԵՆԱՑՈՒ ՓՈՂՈՑ 6-ՐԴ ՓԿՂ. 2,Կոտայք,Չարենցավան,cec-register,2026-06-02T18:09:24.205Z
28/1,40.30365899175079,44.583415389060974,"Թիվ 1 հիմն. դպրոց, Չարենցի 20",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T17:52:50.151Z
28/3,40.30170344147305,44.58210110664368,"Թիվ 4 հիմն. դպրոց, Շահումյան 1",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T18:09:24.206Z
28/5,40.2993303999298,44.582438807625174,"Արվեստի դպրոց, Չարենցի 1ա",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T18:52:36.841Z
28/6,40.37985677259093,44.60335886542402,"Մշակույթի տուն, 14 փողոց 20",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T18:09:24.206Z
28/8,40.30033777762615,44.56001843923525,"Միջնակարգ դպրոց, 3 փողոց 11",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T18:52:36.840Z
28/9,40.420553506787094,44.583269051356346,"Միջնակարգ դպրոց, 1 փողոց 20",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T17:52:50.151Z
28/10,40.28456745477785,44.53818760227737,"Միջնակարգ դպրոց, 2 փողոց 1 փկղ. 1",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T18:52:36.840Z
28/12,40.319424058959314,44.576382637023926,"Թիվ 1 միջն դպրոց, Ց.Խաչատրյանի փողոց 4",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T18:23:54.674Z
28/13,40.326213275665694,44.581714373642654,"Մշակույթր կենտրոն, Ուսանողական փողոց 15",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T18:09:24.207Z
28/16,40.245505045625976,44.53601502086727,"Մշակույթի տուն, 13 փող 3 նրբ 1",Կոտայք,Նոր Հաճըն,cec-register,2026-06-02T18:23:54.667Z
28/18,40.314245799815104,44.596916494118474,"Ս.Վարդանյանի անվ. վարժարան, Կոտայքի 63",Կոտայք,Բյուրեղավան,cec-register,2026-06-02T17:52:50.150Z
28/24,40.29922414782009,44.59873608881148,"«Ալյոնուշկա» մանկապարտեզ, 8 փող 1 նրբ 23",Կոտայք,Արզնի,cec-register,2026-06-02T18:09:24.207Z
28/29,40.326343,44.692597,"Միջնակարգ դպրոց, 8 փողոց 11",Կոտայք,Ակունք,cec-register,2026-06-02T17:52:50.151Z
28/30,40.274826,44.662514,"Մշակույթի տուն, Կենտրոնական 8",Կոտայք,Ակունք,cec-register,2026-06-02T18:23:54.672Z
28/33,40.27264171432477,44.80060934441614,"Միջնակարգ դպրոց, 1 փողոց 4 փկղ. 1",Կոտայք,Ակունք,cec-register,2026-06-02T18:09:24.207Z
29/1,40.28177178077134,44.64014740975581,"Թիվ 7 մանկապարտեզ, 4մ/շ 15/9",Կոտայք,Աբովյան,cec-register,2026-06-02T18:52:36.841Z
29/2,40.28123465436964,44.63980462266986,"Թիվ 7 մանկապարտեզ, 4մ/շ 15/9",Կոտայք,Աբովյան,cec-register,2026-06-02T18:52:36.841Z
29/6,40.27626667233573,44.634165269422354,"Թիվ 10 հիմն. դպրոց, Ս.Մնացականյան 5",Կոտայք,Աբովյան,cec-register,2026-06-02T17:52:50.151Z
29/7,40.182659,44.515209,"Թիվ 6 մանկապարտեզ, Ս.Մնացականյան 1/5",Կոտայք,Աբովյան,cec-register,2026-06-02T18:09:24.206Z
29/8,40.278856,44.628046,"Աբովյանի գեղարվեստի դպրոց, 3 մ/շ Ս.Մնացականյան 1/5/1",Կոտայք,Աբովյան,cec-register,2026-06-02T18:52:36.841Z
29/12,40.268380202492196,44.62909145675854,"Աբովյանի համայնքային գրադարան, Տարտուի փողոց 1/24",Կոտայք,Աբովյան,cec-register,2026-06-02T17:05:56.428Z
29/13,40.268994177592,44.62989625437789,"Թիվ 2 հիմն. դպրոց, Տարտուի փողոց 1/15, մուտք 1",Կոտայք,Աբովյան,cec-register,2026-06-02T17:20:38.693Z
29/14,40.268318165114785,44.628713986090624,"Թիվ 12 մանկապարտեզ, Տարտուի փողոց 1/24/1",Կոտայք,Աբովյան,cec-register,2026-06-02T18:23:54.672Z
29/15,40.26882635828488,44.62994443435106,"Թիվ 2 հիմն. դպրոց, Տարտուի փողոց 1/15, մուտք 2",Կոտայք,Աբովյան,cec-register,2026-06-02T18:23:54.668Z
29/17,40.27022556460261,44.62228817647805,"Թիվ 2 մանկապարտեզ, Բարեկամության փողոց 1/6",Կոտայք,Աբովյան,cec-register,2026-06-02T18:23:54.673Z
29/18,40.27540374480009,44.623266002935374,"Թիվ 5 մանկապարտեզ, Սևանի փողոց 2/4/4",Կոտայք,Աբովյան,cec-register,2026-06-02T18:52:36.840Z
29/19,40.273380963428785,44.6254536413472,"Թիվ 7 հիմն. դպրոց, 2-րդ մ/շ 20",Կոտայք,Աբովյան,cec-register,2026-06-02T18:52:36.840Z
29/21,40.27227079170724,44.62924702238872,"Թիվ 4 ավագ դպրոց, 2 մ/շ Ռոսիա 26",Կոտայք,Աբովյան,cec-register,2026-06-02T18:23:54.674Z
29/24,40.27061095202519,44.61399656479615,"Կարմիր բանակի փողոց,6, բն.1",Կոտայք,Աբովյան,cec-register,2026-06-02T17:35:49.516Z
29/27,40.232371,44.580364,"Կ.Ծառուկյանի անվան միջնակարգ դպրոց, գլխավոր մուտք, Մաշտոցի թիվ 66",Կոտայք,Աբովյան,cec-register,2026-06-02T18:58:59.395Z
29/28,40.232371,44.580364,"Մշակույթի տուն, Մաշտոցի թիվ 49",Կոտայք,Աբովյան,cec-register,2026-06-02T18:09:24.206Z
29/29,40.232371,44.580364,"Գյուղ Առինջ մանկապարտեզ, Մաշտոցի թիվ 68",Կոտայք,Աբովյան,cec-register,2026-06-02T18:52:36.841Z
29/30,40.256501,44.605372,"Բալահովտի միջնակարգ դպրոց, Լ.Ավետիսյանի փողոց 1-ին նրբ. թիվ7",Կոտայք,Աբովյան,cec-register,2026-06-02T17:25:32.312Z
29/32,40.116977,44.734543,"Ատոմի անվան թիվ2 ավագ դպրոց, Ջ.Ալեքյան 52",Կոտայք,Գառնի,cec-register,2026-06-02T18:09:24.206Z
29/33,40.116977,44.734543,"Գեղարվեստի դպրոց, Ս.Շահումյան 11",Կոտայք,Գառնի,cec-register,2026-06-02T18:23:54.667Z
29/35,40.116977,44.734543,"Գառնիի մարզամշակույթային կենտրոնի շենք, Ս.Շահումյան թիվ 6",Կոտայք,Գառնի,cec-register,2026-06-02T17:20:38.693Z
29/39,40.13858,44.784436,"Գողթի միջն դպրոց, 5-րդ փողոց թիվ 12",Կոտայք,Գառնի,cec-register,2026-06-02T16:39:55.605Z
29/43,40.265869,44.585802,"Միջնակարգ դպրոց, 2-րդ փողոց, թիվ2",Կոտայք,Աբովյան,cec-register,2026-06-02T18:09:24.206Z
29/46,40.196967,44.635649,"Միջնակարգ դպրոց, Լուսավորության  փող, թիվ 20",Կոտայք,Ջրվեժ,cec-register,2026-06-02T18:09:24.207Z
29/47,40.18761,44.620199,"Միջնակարգ դպրոցի թիվ3  մասնաշենք, 3-րդ փողոց թիվ 5",Կոտայք,Ջրվեժ,cec-register,2026-06-02T18:09:24.207Z
29/48,40.18761,44.620199,"Միջնակարգ դպրոցի թիվ1 մասնաշենք, 3-րդ փողոց թիվ 5",Կոտայք,Ջրվեժ,cec-register,2026-06-02T17:52:50.151Z
29/54,40.233558,44.728901,"Գյուղ Գեղաշեն, Մշակույթի տուն, 2-րդ փողոց, թիվ 13, մուտք 1",Կոտայք,Աբովյան,cec-register,2026-06-02T17:52:50.151Z
29/55,40.233558,44.728901,"Գյուղ Գեղաշեն, Մշակույթի տուն, 2-րդ փողոց, թիվ 13, մուտք 2",Կոտայք,Աբովյան,cec-register,2026-06-02T17:17:00.095Z
29/57,40.182659,44.515209,"Մանկապարտեզ, 8 փողոց 2",Կոտայք,Աբովյան,cec-register,2026-06-02T18:52:36.840Z
30/3,41.103835232556854,43.83478403091431,«Սիզավետի միջնակարգ դպրոց» ՊՈԱԿ 3 փ․ 4 շենք,Շիրակ,Աշոցք,cec-register,2026-06-02T18:09:24.207Z
30/6,41.04622672059291,43.82488281857917,«Մեծ Սեպասարի միջնակարգ դպրոց» ՊՈԱԿ 9 փ․ 1 շենք,Շիրակ,Աշոցք,cec-register,2026-06-02T18:52:36.841Z
30/9,41.038910007777126,43.8574542280478,Հանդիսությունների սրահ 3փ․ 2 շենք,Շիրակ,Աշոցք,cec-register,2026-06-02T18:23:54.666Z
30/10,41.04175016872786,43.85965347290039,«Աշոցքի միջնակարգ դպրոց» ՊՈԱԿ Վ․Ռուդակովի փ․ 1 շենք,Շիրակ,Աշոցք,cec-register,2026-06-02T18:52:36.841Z
30/21,40.976187,43.899908,Համայնքային կենտրոն 1փ 8/1 շենք,Շիրակ,Աշոցք,cec-register,2026-06-02T17:52:50.151Z
30/37,40.965488,43.780338,«Ամսիայի մանկապատանեկան մարզադպրոց» 26 փ․ 2 օբյեկտ,Շիրակ,Ամասիա,cec-register,2026-06-02T17:35:49.516Z
30/47,40.870436,43.753231,«Կապսի միջնակարգ դպրոց» ՊՈԱԿ 11փ․ 10շ,Շիրակ,Ախուրյան,cec-register,2026-06-02T17:05:56.429Z
30/49,40.844831,43.877173,«Հացիկի միջնակարգ դպրոց» ՊՈԱԿ 13 փ․ 1 փակ․ 3 շենք,Շիրակ,Ախուրյան,cec-register,2026-06-02T17:52:50.151Z
30/52,40.847371,43.833185,Ակումբ 1փ․ 29 շ․,Շիրակ,Ախուրյան,cec-register,2026-06-02T17:52:50.151Z
30/54,40.855799,43.764312,Մշակույթի տուն 16 փ․ 14 շենք,Շիրակ,Ախուրյան,cec-register,2026-06-02T18:23:54.674Z
30/60,40.852212,43.953917,«Ջաջուռի միջնակարգ դպրոց» ՊՈԱԿ 1 փ․ 57 շենք,Շիրակ,Ախուրյան,cec-register,2026-06-02T18:09:24.207Z
30/63,40.763916,43.775453,«Ոսկեհասկի միջնակարգ դպրոց» ՊՈԱԿ 11 փ․ 27 շենք,Շիրակ,Ախուրյան,cec-register,2026-06-02T17:35:49.516Z
31/10,40.826640992887626,43.82126931843087,Թիվ 40 հիմնական դպրոց  Ֆ.Վերֆելի  4,Շիրակ,Գյումրի,cec-register,2026-06-02T18:52:36.841Z
31/11,40.826697821770416,43.826505252274565,«Ֆոտոն» վարժարան  Չարենցի  12/1,Շիրակ,Գյումրի,cec-register,2026-06-02T16:39:55.605Z
31/12,40.811539021274335,43.85533843717243,Թիվ 43 հիմնական դպրոց  Շերամ-2թղմ.,Շիրակ,Գյումրի,cec-register,2026-06-02T18:09:24.207Z
31/13,40.81530202244785,43.81363541792857,Թիվ 23 միջն. դպրոց-1 Մուշ-2 թաղ.,Շիրակ,Գյումրի,cec-register,2026-06-02T16:49:13.286Z
31/14,40.81502594856202,43.81362444001892,Թիվ 23 միջն. դպրոց-2 Մուշ-2 թաղ.,Շիրակ,Գյումրի,cec-register,2026-06-02T17:52:50.151Z
31/16,40.814473797343844,43.81514590223486,Մուշ զարգացման կենտրոն Մուշ-2 թղմ. 12,Շիրակ,Գյումրի,cec-register,2026-06-02T18:09:24.207Z
31/23,40.78993903065469,43.83216307680348,«Շիրակի Մ. Թումանյանի անվան գյուղատնտեսական քոլեջ» մասնաճյուղ   Հ. Սարգսյան 15,Շիրակ,Գյումրի,cec-register,2026-06-02T17:52:50.151Z
31/26,40.7851283,43.8426574,«Փարոս-մսուր  մանկապարտեզ » Մնջոյան 204,Շիրակ,Գյումրի,cec-register,2026-06-02T18:52:36.841Z
31/29,40.79811829391314,43.85124878044643,«Արագած» մարզամշակույթային կենտրոն Մ.Մկրտչյան 49,Շիրակ,Գյումրի,cec-register,2026-06-02T17:52:50.151Z
31/30,40.7851283,43.8426574,«Հայաստանի ազգային պոլիտեխնիկ համալսարան» հիմնադրամ Մ.Մկրտչյան 2,Շիրակ,Գյումրի,cec-register,2026-06-02T17:00:40.276Z
31/32,40.7851283,43.8426574,Թիվ 30 հիմնկան դպրոց Շչեդրինի 7,Շիրակ,Գյումրի,cec-register,2026-06-02T17:52:50.150Z
31/35,40.80871310928766,43.85354140742614,«Նանուլիկ» մանկապարտեզ-1 Կոշտոյան 5,Շիրակ,Գյումրի,cec-register,2026-06-02T18:52:36.840Z
31/37,40.81413745481606,43.84916967177174,Շիրակի տարածաշրջանային պետական քոլեջ                        Անտառավան 4-րդ    թաղ. 30,Շիրակ,Գյումրի,cec-register,2026-06-02T17:52:50.150Z
